BATTLE CITY - BOSS FIGHT LOG
----------------------------
Tick 0: Raw=0, Pruned=0, Speedup=1.00x
Tick 1: Raw=20, Pruned=24, Speedup=0.83x
Tick 2: Raw=20, Pruned=24, Speedup=0.83x
Tick 3: Raw=20, Pruned=24, Speedup=0.83x
Tick 4: Raw=20, Pruned=24, Speedup=0.83x
Tick 5: Raw=20, Pruned=24, Speedup=0.83x
Tick 6: Raw=20, Pruned=24, Speedup=0.83x
Tick 7: Raw=20, Pruned=24, Speedup=0.83x
Tick 8: Raw=20, Pruned=24, Speedup=0.83x
Tick 9: Raw=20, Pruned=24, Speedup=0.83x
Tick 10: Raw=20, Pruned=24, Speedup=0.83x
Tick 11: Raw=20, Pruned=24, Speedup=0.83x
Tick 12: Raw=20, Pruned=24, Speedup=0.83x
Tick 13: Raw=20, Pruned=24, Speedup=0.83x
Tick 14: Raw=20, Pruned=24, Speedup=0.83x
Tick 15: Raw=20, Pruned=24, Speedup=0.83x
Tick 16: Raw=20, Pruned=24, Speedup=0.83x
Tick 17: Raw=20, Pruned=24, Speedup=0.83x
Tick 18: Raw=20, Pruned=24, Speedup=0.83x
Tick 19: Raw=20, Pruned=24, Speedup=0.83x
Tick 20: Raw=20, Pruned=24, Speedup=0.83x
Tick 21: Raw=20, Pruned=24, Speedup=0.83x
Tick 22: Raw=20, Pruned=24, Speedup=0.83x
Tick 23: Raw=20, Pruned=24, Speedup=0.83x
Tick 24: Raw=20, Pruned=24, Speedup=0.83x
Tick 25: Raw=20, Pruned=24, Speedup=0.83x
Tick 26: Raw=20, Pruned=24, Speedup=0.83x
Tick 27: Raw=20, Pruned=24, Speedup=0.83x
Tick 28: Raw=20, Pruned=24, Speedup=0.83x
Tick 29: Raw=20, Pruned=24, Speedup=0.83x
Tick 30: Raw=20, Pruned=24, Speedup=0.83x
Tick 31: Raw=20, Pruned=24, Speedup=0.83x
Tick 32: Raw=20, Pruned=24, Speedup=0.83x
Tick 33: Raw=20, Pruned=24, Speedup=0.83x
Tick 34: Raw=20, Pruned=24, Speedup=0.83x
Tick 35: Raw=20, Pruned=24, Speedup=0.83x
Tick 36: Raw=20, Pruned=24, Speedup=0.83x
Tick 37: Raw=20, Pruned=24, Speedup=0.83x
Tick 38: Raw=20, Pruned=24, Speedup=0.83x
Tick 39: Raw=20, Pruned=24, Speedup=0.83x
Tick 40: Raw=20, Pruned=24, Speedup=0.83x
Tick 41: Raw=20, Pruned=24, Speedup=0.83x
Tick 42: Raw=20, Pruned=24, Speedup=0.83x
Tick 43: Raw=20, Pruned=24, Speedup=0.83x
Tick 44: Raw=20, Pruned=24, Speedup=0.83x
Tick 45: Raw=20, Pruned=24, Speedup=0.83x
Tick 46: Raw=20, Pruned=24, Speedup=0.83x
Tick 47: Raw=20, Pruned=24, Speedup=0.83x
Tick 48: Raw=20, Pruned=24, Speedup=0.83x
Tick 49: Raw=20, Pruned=24, Speedup=0.83x
Tick 50: Raw=20, Pruned=24, Speedup=0.83x
Tick 51: Raw=20, Pruned=24, Speedup=0.83x
Tick 52: Raw=20, Pruned=24, Speedup=0.83x
Tick 53: Raw=20, Pruned=24, Speedup=0.83x
Tick 54: Raw=20, Pruned=24, Speedup=0.83x
Tick 55: Raw=20, Pruned=24, Speedup=0.83x
Tick 56: Raw=20, Pruned=24, Speedup=0.83x
Tick 57: Raw=20, Pruned=24, Speedup=0.83x
Tick 58: Raw=20, Pruned=24, Speedup=0.83x
Tick 59: Raw=20, Pruned=24, Speedup=0.83x
Tick 60: Raw=20, Pruned=24, Speedup=0.83x
Tick 61: Raw=20, Pruned=24, Speedup=0.83x
Tick 62: Raw=20, Pruned=24, Speedup=0.83x
Tick 63: Raw=20, Pruned=24, Speedup=0.83x
Tick 64: Raw=20, Pruned=24, Speedup=0.83x
Tick 65: Raw=20, Pruned=24, Speedup=0.83x
Tick 66: Raw=20, Pruned=24, Speedup=0.83x
Tick 67: Raw=20, Pruned=24, Speedup=0.83x
Tick 68: Raw=20, Pruned=24, Speedup=0.83x
Tick 69: Raw=20, Pruned=24, Speedup=0.83x
Tick 70: Raw=20, Pruned=24, Speedup=0.83x
Tick 71: Raw=20, Pruned=24, Speedup=0.83x
Tick 72: Raw=20, Pruned=24, Speedup=0.83x
Tick 73: Raw=20, Pruned=24, Speedup=0.83x
Tick 74: Raw=20, Pruned=24, Speedup=0.83x
Tick 75: Raw=20, Pruned=24, Speedup=0.83x
Tick 76: Raw=20, Pruned=24, Speedup=0.83x
Tick 77: Raw=20, Pruned=24, Speedup=0.83x
Tick 78: Raw=20, Pruned=24, Speedup=0.83x
Tick 79: Raw=20, Pruned=24, Speedup=0.83x
Tick 80: Raw=20, Pruned=24, Speedup=0.83x
Tick 81: Raw=20, Pruned=24, Speedup=0.83x
Tick 82: Raw=20, Pruned=24, Speedup=0.83x
Tick 83: Raw=20, Pruned=24, Speedup=0.83x
Tick 84: Raw=20, Pruned=24, Speedup=0.83x
Tick 85: Raw=20, Pruned=24, Speedup=0.83x
Tick 86: Raw=20, Pruned=24, Speedup=0.83x
Tick 87: Raw=20, Pruned=24, Speedup=0.83x
Tick 88: Raw=20, Pruned=24, Speedup=0.83x
Tick 89: Raw=20, Pruned=24, Speedup=0.83x
Tick 90: Raw=20, Pruned=24, Speedup=0.83x
Tick 91: Raw=20, Pruned=24, Speedup=0.83x
Tick 92: Raw=20, Pruned=24, Speedup=0.83x
Tick 93: Raw=20, Pruned=24, Speedup=0.83x
Tick 94: Raw=20, Pruned=24, Speedup=0.83x
Tick 95: Raw=20, Pruned=24, Speedup=0.83x
Tick 96: Raw=20, Pruned=24, Speedup=0.83x
Tick 97: Raw=20, Pruned=24, Speedup=0.83x
Tick 98: Raw=20, Pruned=24, Speedup=0.83x
Tick 99: Raw=20, Pruned=24, Speedup=0.83x
Tick 100: Raw=20, Pruned=24, Speedup=0.83x
Tick 101: Raw=20, Pruned=24, Speedup=0.83x
Tick 102: Raw=20, Pruned=24, Speedup=0.83x
Tick 103: Raw=20, Pruned=24, Speedup=0.83x
Tick 104: Raw=20, Pruned=24, Speedup=0.83x
Tick 105: Raw=20, Pruned=24, Speedup=0.83x
Tick 106: Raw=20, Pruned=24, Speedup=0.83x
Tick 107: Raw=20, Pruned=24, Speedup=0.83x
Tick 108: Raw=20, Pruned=24, Speedup=0.83x
Tick 109: Raw=20, Pruned=24, Speedup=0.83x
Tick 110: Raw=20, Pruned=24, Speedup=0.83x
Tick 111: Raw=20, Pruned=24, Speedup=0.83x
Tick 112: Raw=20, Pruned=24, Speedup=0.83x
Tick 113: Raw=20, Pruned=24, Speedup=0.83x
Tick 114: Raw=20, Pruned=24, Speedup=0.83x
Tick 115: Raw=20, Pruned=24, Speedup=0.83x
Tick 116: Raw=20, Pruned=24, Speedup=0.83x
Tick 117: Raw=20, Pruned=24, Speedup=0.83x
Tick 118: Raw=20, Pruned=24, Speedup=0.83x
Tick 119: Raw=20, Pruned=24, Speedup=0.83x
Tick 120: Raw=20, Pruned=24, Speedup=0.83x
Tick 121: Raw=20, Pruned=24, Speedup=0.83x
Tick 122: Raw=20, Pruned=24, Speedup=0.83x
Tick 123: Raw=20, Pruned=24, Speedup=0.83x
Tick 124: Raw=20, Pruned=24, Speedup=0.83x
